feature,signal_strength
range_Density,0.0019262143090164907
range_fie,0.0019197881761974338
range_FusionHeat,0.0019078259289825236
range_ThermalConductivity,0.0017394963249447177
range_ElectronAffinity,0.001731919646645293
std_Valence,0.001726479339162716
range_Valence,0.0017198196660363015
mean_FusionHeat,0.0016924263588077124
gmean_Valence,0.001683076700125185
mean_Valence,0.0016766108166193813
std_ElectronAffinity,0.0016741546223270468
std_FusionHeat,0.00167024348226977
mean_ElectronAffinity,0.0016668272181124232
wtd_range_Density,0.001660598392685697
mean_atomic_mass,0.0016534518260916992
wtd_gmean_Valence,0.0016503423566385782
wtd_std_atomic_mass,0.001649262512263966
gmean_Density,0.0016485627343146452
mean_Density,0.001648169951039531
mean_fie,0.001648034203008461
wtd_mean_Valence,0.0016471299970836988
wtd_range_Valence,0.001646897274815405
wtd_std_Valence,0.001646605653818874
gmean_FusionHeat,0.0016465460750373616
wtd_gmean_Density,0.0016465058409123091
wtd_std_fie,0.0016464398750528162
entropy_ElectronAffinity,0.0016462004426185818
wtd_std_ElectronAffinity,0.0016461515106428043
std_ThermalConductivity,0.001646140675139485
wtd_mean_FusionHeat,0.0016461403261579066
wtd_mean_atomic_radius,0.0016461188935065908
wtd_gmean_atomic_mass,0.0016461182068592387
wtd_range_fie,0.0016461107050522654
wtd_entropy_ElectronAffinity,0.0016460970293590105
wtd_entropy_Density,0.0016460960875605709
wtd_entropy_atomic_radius,0.0016460864474819488
wtd_entropy_FusionHeat,0.0016460850279112372
wtd_gmean_FusionHeat,0.0016460740046594328
wtd_gmean_atomic_radius,0.001646062908612569
wtd_std_FusionHeat,0.001646062908612569
wtd_std_ThermalConductivity,0.0016460518489632356
wtd_entropy_atomic_mass,0.0016460407893139014
wtd_range_FusionHeat,0.0016460407893139014
wtd_gmean_fie,0.0016460297296645675
wtd_entropy_fie,0.0016460189508953136
wtd_entropy_ThermalConductivity,0.00164600792243653
wtd_mean_atomic_mass,0.0016459855482853665
wtd_gmean_ElectronAffinity,0.0016459854910672322
wtd_std_atomic_radius,0.001645974431417898
wtd_mean_Density,0.00164595231211923
wtd_range_atomic_mass,0.0016459486894658797
wtd_range_atomic_radius,0.0016459324591000732
wtd_std_Density,0.0016458970138725603
std_Density,0.0016458876337261184
wtd_mean_ThermalConductivity,0.0016458310304835067
wtd_mean_ElectronAffinity,0.0016458308743104826
mean_ThermalConductivity,0.0016457227011678495
std_atomic_radius,0.0016457217798245903
gmean_atomic_radius,0.0016456845786366752
gmean_fie,0.0016455698867465247
gmean_atomic_mass,0.0016455581558954238
wtd_mean_fie,0.0016454010753007308
wtd_gmean_ThermalConductivity,0.0016452285329058367
entropy_ThermalConductivity,0.0016452168021543559
entropy_FusionHeat,0.0016450515720773285
wtd_range_ThermalConductivity,0.0016446614248147868
std_fie,0.0016445406139888358
wtd_range_ElectronAffinity,0.00164418127255961
gmean_ElectronAffinity,0.0016437576087138014
wtd_entropy_Valence,0.0016431036123787455
mean_atomic_radius,0.0016421099456628053
entropy_Density,0.0016418547394900147
entropy_fie,0.0016415027115784433
gmean_ThermalConductivity,0.0016394702750695878
entropy_atomic_mass,0.001639225930157823
std_atomic_mass,0.0016382940851210367
entropy_Valence,0.0016362432269405875
entropy_atomic_radius,0.0016201668877705577
range_atomic_mass,0.0016017201951875777
range_atomic_radius,0.0015769956339506514
number_of_elements,0.0010765594847715046
